eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 11.142, 8975.05, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 9.28, 10775.86, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 10.099, 9901.97, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 12.006, 8329.17, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 9.569, 10450.41, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 11.711, 8538.98, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 10.169, 9833.81, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 10.641, 9397.61, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 10.809, 9251.55, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.20, 0.0000010, 100000, 100000, 9.915, 10085.73, 21.55
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 5.724, 17470.30, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 5.264, 18996.96, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 5.082, 19677.29, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 6.259, 15976.99, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 7.542, 13259.08, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 5.635, 17746.23, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 6.611, 15126.30, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 5.556, 17998.56, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 6.262, 15969.34, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
0.40, 0.0000010, 100000, 100000, 5.717, 17491.69, 10.73
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
