eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 2.058, 9718.17, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 2.6, 7692.31, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 2.321, 8616.98, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 2.076, 9633.91, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 1.943, 10293.36, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 1.936, 10330.58, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 2.323, 8609.56, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 2.331, 8580.01, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 1.811, 11043.62, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 20000, 1.874, 10672.36, 21.72
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.493, 16044.93, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.72, 14705.88, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.319, 17248.81, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.309, 17323.52, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.073, 19295.71, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.791, 14331.78, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.611, 15319.80, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.432, 16447.37, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.228, 17953.32, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 40000, 2.383, 16785.56, 10.86
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.72, 22058.82, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.405, 24948.02, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.324, 25817.56, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.243, 26749.89, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.883, 20811.65, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.417, 24824.16, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.317, 25895.55, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.235, 26845.64, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.29, 26200.87, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 60000, 2.544, 23584.91, 7.24
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.229, 35890.53, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.246, 35618.88, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.181, 36680.42, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.868, 27894.00, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 4.525, 17679.56, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.289, 34949.76, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.395, 33402.92, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.709, 29531.19, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.4, 33333.33, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 80000, 2.411, 33181.25, 5.43
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
1.00, 0.0000010, 100000, 100000, 2.462, 40617.38, 4.34
eps, delta, listSize, realQueryNum, batchTime(s), throughput(query/s), overheadRatio
